question_id,language,topic_id,question,correct_answer,incorrect_1,incorrect_2,incorrect_3,validated
1,Python,2,What keyword is used to define a class in Python,class,define,function,object,0
2,Python,2,What does inheritance allow in Python,Creating a new class from an existing class,Creating multiple classes,Hiding class members,Defining functions,0
3,Python,2,What is the purpose of the __init__ method,To initialize an object,To define a class,To create a method,To return a value,0
4,Python,2,Which of the following is not an access modifier in Python,private,public,protected,final,0
5,Python,2,What is polymorphism in Python,Methods doing different things based on the object,Multiple classes with the same name,Classes that inherit from one another,Creating multiple methods,0
6,Python,2,Which keyword is used to inherit a class in Python,class Child(Parent),extends Parent,inherits Parent,inherits class,0
7,Python,2,What is the output of print(type([]) is list),TRUE,FALSE,None,Error,0
8,Python,2,What does the self parameter refer to in a method,The instance of the class,The parent class,The method itself,The module,0
9,Python,2,True or False: Python supports multiple inheritance,TRUE,FALSE,Not applicable,Depends on the version,0
10,Python,2,What does encapsulation mean,Hiding the internal state of an object,Creating multiple classes,Defining a method,Implementing an interface,0
11,Python,2,Which of the following can be an abstract method,A method with no implementation,A method with implementation,A static method,An instance method,0
12,Python,2,What does the __str__ method do in Python,Returns a string representation of an object,Defines a method,Creates an object,Returns the class name,0
13,Python,2,True or False: You can create a method with the same name as the class in Python,TRUE,FALSE,Not applicable,Only in subclasses,0
14,Python,2,What is the purpose of the super() function,To call methods from the parent class,To define a class,To create an object,To delete a method,0
15,Python,2,What is an example of a built-in function in Python,len(),length(),size(),count(),0
16,Python,2,What is a mixin class,A class that provides methods to other classes,A class with no methods,A class that cannot be instantiated,A subclass,0
17,Python,2,Which method is automatically called when an object is created,__init__,__new__,__str__,__call__,0
18,Python,2,True or False: You can define a method outside a class in Python,FALSE,TRUE,Only in scripts,Only in modules,0
19,Python,2,What keyword is used to create a property in Python,@property,property,def,@def,0
20,Python,2,What is the main purpose of an interface,To define methods that must be implemented,To create instances,To store data,To inherit methods,0
21,Python,2,What does the term 'composition' mean in OOP,Creating objects from other objects,Creating classes,Using inheritance,Defining methods,0
22,Python,2,Which of the following is a mutable type,List,String,Tuple,Set,0
23,Python,2,What happens if a class does not define a constructor,A default constructor is provided,It throws an error,It must be abstract,It cannot have methods,0
24,Python,2,True or False: Private variables in Python can be accessed outside the class,FALSE,TRUE,Only in subclasses,Only if specified,0
25,Python,2,"What is the output of the expression isinstance(obj, Class)",True if obj is an instance of Class,False if obj is an instance of Class,None,Error,0
26,Python,2,What does the term 'duck typing' refer to,Object behavior being determined at runtime,Static type checking,Strictly defining types,Method overloading,0
27,Python,2,What is a decorator in Python,A function that modifies another function,A type of class,A special variable,A method of a class,0
28,Python,2,Which of the following is a characteristic of an abstract class,Cannot be instantiated,Can have concrete methods,Must have abstract methods,Can be inherited,0
29,Python,2,True or False: All classes in Python inherit from a base class,TRUE,FALSE,Only some classes,Only if specified,0
30,Python,2,What keyword is used to raise an exception,raise,throw,error,exception,0
