round_num,game_id,question_id,answer_selected,round_winner,is_correct
1,1,1,class,alipi,correct
2,1,2,Creating a new class from an existing class,alipi,correct
3,1,3,To initialize an object,alipi,correct
4,1,4,final,computer,incorrect
5,1,5,Methods doing different things based on the object,alipi,correct
6,1,6,class Child(Parent),alipi,correct
7,1,7,TRUE,alipi,correct
8,1,8,The instance of the class,alipi,correct
9,1,9,TRUE,alipi,correct
10,1,110,Functions and variables,alipi,correct
11,1,111,private,alipi,correct
12,1,112,TRUE,alipi,correct
13,1,113,The function does not modify the object,alipi,correct
14,1,114,A way to initialize member variables before the constructor body executes,alipi,correct
15,1,115,TRUE,alipi,correct
16,1,116,Defines a class A with a public function,alipi,correct
17,1,117,That a method is overriding a base class method,alipi,correct
18,1,118,TRUE,alipi,correct
19,1,119,To access members of a class or namespace,alipi,correct
20,1,120,A blueprint for creating classes or functions,alipi,correct
21,1,121,TRUE,alipi,correct
22,1,122,To allocate memory on the heap,alipi,correct
23,1,123,To enforce method implementation in derived classes,alipi,correct
24,1,370,TRUE,computer,correct
25,1,371,Deque,computer,correct
26,1,372,Error,computer,incorrect
27,1,373,poll(),computer,correct
28,1,374,O(1) at head,computer,incorrect
29,1,375,get(),computer,correct
30,1,376,1,computer,incorrect
31,1,377,Tree,computer,correct
32,1,378,Converts the list to an array,computer,correct
33,1,379,PriorityQueue<Integer> pq = new PriorityQueue<>();,computer,correct
34,1,380,'a',computer,incorrect
35,1,381,ArrayList,computer,correct
36,1,382,1,computer,incorrect
1,2,1,class,computer,correct
2,2,2,Creating a new class from an existing class,alipi,correct
3,2,3,To initialize an object,alipi,correct
4,2,4,final,computer,incorrect
5,2,5,Methods doing different things based on the object,alipi,correct
6,2,6,class Child(Parent),alipi,correct
7,2,7,TRUE,alipi,correct
8,2,8,The instance of the class,alipi,correct
9,2,9,TRUE,alipi,correct
10,2,110,Functions and variables,alipi,correct
11,2,111,private,alipi,correct
12,2,112,TRUE,alipi,correct
13,2,113,The function does not modify the object,alipi,correct
14,2,114,A way to initialize member variables before the constructor body executes,alipi,correct
15,2,115,TRUE,alipi,correct
16,2,116,Defines a class A with a public function,alipi,correct
17,2,117,That a method is overriding a base class method,alipi,correct
18,2,118,TRUE,alipi,correct
19,2,119,To access members of a class or namespace,alipi,correct
20,2,120,A blueprint for creating classes or functions,alipi,correct
21,2,121,TRUE,alipi,correct
22,2,122,To allocate memory on the heap,alipi,correct
23,2,123,To enforce method implementation in derived classes,alipi,correct
24,2,370,TRUE,computer,correct
25,2,371,Deque,computer,correct
26,2,372,Error,computer,incorrect
27,2,373,poll(),computer,correct
28,2,374,O(1) at head,computer,incorrect
29,2,375,get(),computer,correct
30,2,376,1,computer,incorrect
31,2,377,Tree,computer,correct
32,2,378,Converts the list to an array,computer,correct
33,2,379,PriorityQueue<Integer> pq = new PriorityQueue<>();,computer,correct
34,2,380,'a',computer,incorrect
35,2,381,ArrayList,computer,correct
36,2,382,1,computer,incorrect
1,3,1,class,alipi,correct
2,3,2,Creating a new class from an existing class,alipi,correct
3,3,3,To initialize an object,alipi,correct
4,3,4,final,computer,incorrect
5,3,5,Methods doing different things based on the object,alipi,correct
6,3,6,class Child(Parent),alipi,correct
7,3,7,TRUE,alipi,correct
8,3,8,The instance of the class,alipi,correct
9,3,9,TRUE,alipi,correct
10,3,110,Functions and variables,alipi,correct
11,3,111,private,alipi,correct
12,3,112,TRUE,alipi,correct
13,3,113,The function does not modify the object,alipi,correct
14,3,114,A way to initialize member variables before the constructor body executes,alipi,correct
15,3,115,TRUE,alipi,correct
16,3,116,Defines a class A with a public function,alipi,correct
17,3,117,That a method is overriding a base class method,alipi,correct
18,3,118,TRUE,alipi,correct
19,3,119,To access members of a class or namespace,alipi,correct
20,3,120,A blueprint for creating classes or functions,alipi,correct
21,3,121,TRUE,alipi,correct
22,3,122,To allocate memory on the heap,alipi,correct
23,3,123,To enforce method implementation in derived classes,alipi,correct
24,3,370,TRUE,computer,correct
25,3,371,Deque,computer,correct
26,3,372,Error,computer,incorrect
27,3,373,poll(),computer,correct
28,3,374,O(1) at head,computer,incorrect
29,3,375,get(),computer,correct
30,3,376,1,computer,incorrect
31,3,377,Tree,computer,correct
32,3,378,Converts the list to an array,computer,correct
33,3,379,PriorityQueue<Integer> pq = new PriorityQueue<>();,computer,correct
34,3,380,'a',computer,incorrect
35,3,381,ArrayList,computer,correct
36,3,382,1,computer,incorrect
